P_FRQ,Mecanizado,Tiempo,CH,RISE,COUN,ENER,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,Herramienta
92,1,0.6456845000000015,1,4148,323,180,4943,65,65,0.072,60,281,52,67,1160000.0,53034.0,429,Usada
107,1,0.6507592999999972,2,5411,2497,4680,20000,82,125,0.392,74,691,123,127,29258000.0,8194000.0,219,Usada
92,1,0.6510953000000015,1,1498,136,80,1960,62,69,0.072,60,103,71,68,510113.0,23338.0,355,Usada
92,1,0.653536299999999,1,1318,140,80,2419,64,58,0.072,60,79,55,59,516365.0,22283.0,403,Usada
92,1,0.6563985000000017,1,2353,177,100,2720,62,65,0.072,60,155,59,65,667462.0,31173.0,448,Usada
87,1,0.6595510000000004,1,559,129,80,2262,63,57,0.072,60,34,55,60,533689.0,25741.0,428,Usada
87,1,0.6622685999999973,1,344,44,30,593,64,74,0.072,60,27,68,78,204045.0,12511.0,408,Usada
97,1,0.6633574999999965,1,599,50,20,757,61,66,0.07,60,37,82,61,174948.0,7430.0,431,Usada
92,1,0.6646093000000022,1,582,133,70,2354,60,56,0.07,60,36,54,61,482693.0,17978.0,436,Usada
92,1,0.6673997999999983,1,451,59,30,1004,60,59,0.07,60,27,57,59,216519.0,9416.0,480,Usada
97,1,0.6688597999999999,1,72,22,10,436,56,50,0.07,60,6,44,83,74054.0,2270.0,573,Usada
92,1,0.6697380999999965,1,383,63,30,1349,59,47,0.07,60,23,41,60,245555.0,8270.0,464,Usada
92,1,0.6710952999999975,2,14326,2438,4310,20000,82,122,0.38,74,1756,120,122,26933000.0,6861000.0,202,Usada
97,1,0.6715234999999993,1,109,114,60,2088,59,55,0.068,59,7,54,64,410743.0,14381.0,444,Usada
102,1,0.6740479999999991,1,0,20,10,379,61,53,0.068,59,1,50,1000,77379.0,3195.0,505,Usada
87,1,0.6748657999999992,1,626,56,30,873,61,64,0.068,59,40,64,63,209749.0,9221.0,432,Usada
92,1,0.6762289999999993,1,20,3,0,48,53,63,0.068,59,2,35,100,8723.0,379.621,647,Usada
92,1,0.6767184999999998,1,97,15,0,256,56,59,0.068,59,8,44,82,47489.0,1677.0,603,Usada
92,1,0.6774109999999993,1,696,50,20,821,57,61,0.068,59,41,72,58,155275.0,5332.0,528,Usada
92,1,0.6786698000000015,1,226,15,0,253,55,59,0.068,59,13,74,57,40138.0,1227.0,599,Usada
