SNE1,SNE2,SNE3,Herramienta
-21.484297,-0.36465222,-2.9353309,H2
14.000053,3.5594425,10.05852,H2
12.701307,3.3429651,9.673754,H2
13.429185,3.202245,9.525435,H2
-11.286387,7.0427775,-2.2082462,H2
13.017492,3.4559186,9.631127,H2
10.538584,3.6232932,8.54562,H2
-10.029377,8.340482,-0.63918275,H2
12.7274065,5.0629635,5.624996,H2
12.22521,3.3782272,9.507468,H2
12.912953,5.1488514,4.6575003,H2
-9.781453,7.522221,-2.4346015,H2
12.769378,5.064067,5.165464,H2
12.424779,5.05889,5.4610195,H2
12.359573,5.036342,5.3210254,H2
-9.280997,7.5434127,0.45243874,H2
11.956712,5.1746635,4.544208,H2
11.210811,3.4567833,9.32761,H2
-12.919862,11.085937,-4.669145,H2
10.961261,3.5459452,8.991099,H2
12.667027,5.0776815,5.0385976,H2
13.127639,5.1080666,4.8101964,H2
-9.889172,7.3931613,1.164842,H2
11.079993,3.5509665,8.987414,H2
11.442458,4.9294786,5.377513,H2
10.523381,3.7166116,8.357122,H2
-13.373807,12.806065,-5.7860723,H2
13.912422,3.698945,0.8197255,H2
10.096929,3.627389,8.223698,H2
-13.155627,11.142189,-4.580918,H2
11.645105,5.1561036,3.9931479,H2
9.87969,3.7187996,7.8845825,H2
10.128988,3.7244153,8.059145,H2
-12.691726,12.788764,-5.320412,H2
8.867063,3.1366842,10.07795,H2
14.017615,3.5927763,0.3906927,H2
-9.801662,8.557002,0.4586343,H2
13.774339,5.5846877,3.3028624,H2
8.779551,3.1078143,10.08969,H2
3.321672,1.7566185,9.609962,H2
-10.147968,8.55046,-1.0315902,H2
10.834679,8.158747,-1.9536562,H2
3.6160815,-8.75967,11.877535,H2
3.808602,-8.712744,12.045389,H2
-12.742517,13.052055,-5.244405,H2
3.9656427,-8.58647,12.015631,H2
3.891431,-8.82861,12.276308,H2
-12.004868,13.155701,-2.9534175,H2
13.914999,3.5362449,-0.7863959,H2
2.7633212,1.4587152,9.3708105,H2
13.762073,3.5608678,-1.0665395,H2
3.290912,-12.670595,5.1201673,H2
2.6384926,1.3940579,9.26592,H2
-8.713406,12.555871,-3.7829196,H2
2.0516164,-9.487142,11.09057,H2
2.7156024,-9.535018,11.380412,H2
-11.996192,13.210386,-2.8554502,H2
3.446567,-9.12344,11.811124,H2
2.774948,1.3719848,9.472217,H2
2.488025,1.2497978,9.314105,H2
-8.480757,8.782185,0.4595205,H2
2.2904017,-9.701688,11.089634,H2
