P_FRQ,Mecanizado,Tiempo,CH,RISE,COUN,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,Herramienta
92,1,0.691119999999998,2,128,30,563,58,53,0.07,60,7,52,54,100406.0,3313.0,334,Nueva
92,1,0.6914556999999988,1,4795,2519,20000,78,126,0.274,71,629,124,131,16733000.0,2694000.0,262,Nueva
92,1,0.692138700000001,2,1658,140,2410,60,58,0.07,60,107,43,64,507581.0,19304.0,308,Nueva
102,1,0.6950087999999965,2,1344,108,2287,61,47,0.07,60,62,48,46,399489.0,12886.0,330,Nueva
92,1,0.6977329999999995,2,1305,101,1797,61,56,0.07,60,76,50,58,415807.0,17801.0,325,Nueva
92,1,0.6999661999999987,2,248,66,846,63,78,0.068,59,19,78,76,269956.0,14768.0,289,Nueva
92,1,0.7012560000000008,2,266,41,578,59,71,0.068,59,24,54,90,151250.0,6517.0,313,Nueva
107,1,0.7023464999999973,2,0,1,5,51,200,0.068,59,1,0,1000,1159.0,183.27,337,Nueva
92,1,0.7027882000000005,2,76,16,223,57,72,0.068,59,8,54,105,51270.0,2167.0,363,Nueva
92,1,0.703446999999997,2,1854,143,2742,63,52,0.068,59,93,56,50,538234.0,20847.0,321,Nueva
92,1,0.7066390000000027,2,19,19,603,59,32,0.068,59,3,27,157,83296.0,2497.0,344,Nueva
92,1,0.7076849999999979,2,255,46,861,59,53,0.068,59,21,41,82,165158.0,6301.0,327,Nueva
92,1,0.708993999999997,2,133,60,970,59,62,0.066,59,9,60,67,202368.0,7484.0,336,Nueva
92,1,0.7104004999999987,2,2576,197,3505,66,56,0.066,59,132,70,51,721111.0,29376.0,351,Nueva
97,1,0.7117909999999981,1,4907,2557,20000,79,128,0.258,71,625,128,127,17308000.0,2866000.0,231,Nueva
92,1,0.7143476999999976,2,0,34,728,66,47,0.066,59,1,45,1000,123464.0,3826.0,377,Nueva
102,1,0.7155362999999966,2,103,36,682,59,53,0.066,59,10,44,97,130876.0,4732.0,316,Nueva
92,1,0.7166530000000009,2,0,61,895,64,68,0.066,59,1,67,1000,226066.0,9858.0,435,Nueva
107,1,0.7179859999999962,2,102,17,422,56,40,0.066,59,8,28,78,63471.0,2035.0,360,Nueva
92,1,0.7188391999999979,2,2000,119,2268,63,52,0.064,59,96,86,48,499346.0,24514.0,358,Nueva
107,1,0.7215794999999972,2,0,1,0,51,0,0.064,59,1,0,1000,152.5,181.971,335,Nueva
102,1,0.7220124999999982,2,57,24,492,57,49,0.064,59,3,48,52,89761.0,2975.0,471,Nueva
92,1,0.7229825000000005,2,337,59,871,61,68,0.064,59,26,61,77,247782.0,12795.0,299,Nueva
107,1,0.7243087000000017,2,35,24,311,56,77,0.064,59,3,76,85,69540.0,2580.0,344,Nueva
107,1,0.725050699999997,2,0,1,91,58,11,0.064,59,1,0,1000,8967.0,349.746,448,Nueva
92,1,0.7255765000000025,2,81,25,442,56,57,0.064,59,6,52,74,85736.0,2922.0,424,Nueva
102,1,0.7264559999999989,2,599,80,1399,59,57,0.064,59,44,45,73,291519.0,11699.0,322,Nueva
102,1,0.7282872999999981,2,67,52,795,64,65,0.064,59,9,59,134,201757.0,10596.0,291,Nueva
92,1,0.7295161999999991,2,205,51,768,55,66,0.062,58,15,64,73,151494.0,4849.0,379,Nueva
92,1,0.7307137999999966,2,0,117,2256,60,52,0.062,58,1,51,1000,407389.0,12866.0,348,Nueva
102,1,0.7321247,1,11495,2450,19996,79,123,0.242,70,1391,124,121,18391000.0,3340000.0,256,Nueva
92,1,0.7333992000000009,2,45,73,1499,58,49,0.062,58,5,46,111,259647.0,8415.0,341,Nueva
102,1,0.735379199999997,2,746,193,3567,65,54,0.062,58,40,54,53,765245.0,36165.0,276,Nueva
92,1,0.7395209999999963,2,348,70,1102,59,64,0.06,58,26,58,74,254797.0,10456.0,321,Nueva
102,1,0.7410539999999983,2,0,37,428,64,86,0.06,58,1,84,1000,115443.0,5003.0,479,Nueva
92,1,0.7419322000000008,2,1756,139,2182,63,64,0.06,58,108,72,61,568154.0,28002.0,305,Nueva
92,1,0.7446142000000009,2,187,36,552,58,65,0.06,58,12,65,64,123678.0,4798.0,327,Nueva
92,1,0.7457194999999999,2,3173,207,3902,60,53,0.056,58,160,64,50,732092.0,25158.0,343,Nueva
92,1,0.750076,2,177,51,676,61,75,0.056,58,16,70,90,206973.0,11052.0,293,Nueva
